geo,colonandrectum_cancer_number_of_female_deaths,time
afg,193,2002
alb,163,2002
dza,552,2002
ago,106,2002
arg,2686,2002
arm,137,2002
aus,2208,2002
aut,1325,2002
aze,119,2002
bhs,13,2002
bhr,9,2002
bgd,252,2002
brb,23,2002
blr,1161,2002
bel,1764,2002
blz,3,2002
ben,66,2002
btn,16,2002
bol,162,2002
bih,374,2002
bwa,19,2002
bra,5015,2002
brn,9,2002
bgr,953,2002
bfa,35,2002
bdi,75,2002
khm,155,2002
cmr,167,2002
can,3296,2002
cpv,5,2002
caf,39,2002
tcd,74,2002
chl,697,2002
chn,35900,2002
col,1324,2002
com,8,2002
cod,448,2002
cog,27,2002
cri,164,2002
civ,124,2002
hrv,634,2002
cub,1063,2002
cyp,81,2002
cze,1938,2002
dnk,1114,2002
dji,9,2002
dom,207,2002
ecu,293,2002
egy,721,2002
slv,96,2002
gnq,5,2002
eri,45,2002
est,199,2002
eth,746,2002
fji,6,2002
fin,573,2002
fra,8019,2002
pyf,18,2002
gab,19,2002
gmb,11,2002
geo,249,2002
deu,16470,2002
gha,230,2002
grc,1006,2002
gum,5,2002
gtm,164,2002
gin,72,2002
gnb,14,2002
guy,14,2002
hti,129,2002
hnd,94,2002
hun,2346,2002
isl,30,2002
ind,9351,2002
idn,6042,2002
irn,986,2002
irq,201,2002
irl,433,2002
isr,668,2002
ita,7909,2002
jam,97,2002
jpn,17190,2002
jor,81,2002
kaz,495,2002
ken,314,2002
prk,808,2002
kor,1973,2002
kwt,27,2002
kgz,85,2002
lao,52,2002
lva,368,2002
lbn,42,2002
lso,19,2002
lbr,29,2002
lby,63,2002
ltu,434,2002
lux,66,2002
mkd,124,2002
mdg,184,2002
mwi,87,2002
mys,852,2002
mli,156,2002
mlt,46,2002
mrt,29,2002
mus,23,2002
mex,1615,2002
mda,320,2002
mng,20,2002
mar,608,2002
moz,69,2002
mmr,427,2002
nam,19,2002
npl,169,2002
nzl,581,2002
nic,86,2002
ner,90,2002
nga,1406,2002
nor,806,2002
omn,12,2002
pak,1525,2002
pan,88,2002
png,28,2002
pry,92,2002
per,773,2002
phl,2415,2002
pol,4082,2002
prt,1307,2002
pri,228,2002
qat,10,2002
rou,1843,2002
rus,19310,2002
rwa,88,2002
wsm,5,2002
sau,305,2002
sen,84,2002
scg,1066,2002
sle,52,2002
sgp,402,2002
svk,752,2002
svn,295,2002
slb,6,2002
som,91,2002
zaf,1043,2002
esp,5206,2002
lka,192,2002
sdn,322,2002
sur,12,2002
swz,7,2002
swe,1209,2002
che,822,2002
syr,502,2002
tjk,28,2002
tza,368,2002
tha,1319,2002
nld,2313,2002
tgo,51,2002
tto,67,2002
tun,254,2002
tur,1654,2002
tkm,19,2002
uga,347,2002
ukr,5817,2002
are,43,2002
gbr,8278,2002
usa,29630,2002
ury,438,2002
uzb,202,2002
vut,0,2002
ven,631,2002
vnm,1664,2002
yem,170,2002
zmb,79,2002
zwe,208,2002
