geo,stomach_cancer_number_of_new_female_cases,time
afg,592,2002
alb,103,2002
dza,352,2002
ago,344,2002
arg,1544,2002
arm,236,2002
aus,689,2002
aut,782,2002
aze,672,2002
bhs,12,2002
bhr,10,2002
bgd,402,2002
brb,14,2002
blr,1710,2002
bel,576,2002
blz,8,2002
ben,59,2002
btn,27,2002
bol,246,2002
bih,252,2002
bwa,12,2002
bra,6883,2002
brn,6,2002
bgr,765,2002
bfa,116,2002
bdi,105,2002
khm,215,2002
cmr,149,2002
can,1105,2002
cpv,6,2002
caf,171,2002
tcd,312,2002
chl,1575,2002
chn,128500,2002
col,3520,2002
com,10,2002
cod,2762,2002
cog,11,2002
cri,378,2002
civ,153,2002
hrv,507,2002
cub,333,2002
cyp,25,2002
cze,809,2002
dnk,206,2002
dji,14,2002
dom,295,2002
ecu,1335,2002
egy,538,2002
slv,547,2002
gnq,21,2002
eri,62,2002
est,216,2002
eth,1000,2002
fji,22,2002
fin,326,2002
fra,2618,2002
pyf,25,2002
gab,3,2002
gmb,8,2002
geo,419,2002
deu,8354,2002
gha,219,2002
grc,680,2002
gum,4,2002
gtm,366,2002
gin,84,2002
gnb,14,2002
guy,28,2002
hti,192,2002
hnd,209,2002
hun,1017,2002
isl,14,2002
ind,11740,2002
idn,1925,2002
irn,2450,2002
irq,261,2002
irl,180,2002
isr,299,2002
ita,6604,2002
jam,154,2002
jpn,35990,2002
jor,57,2002
kaz,1747,2002
ken,611,2002
prk,3226,2002
kor,7737,2002
kwt,13,2002
kgz,412,2002
lao,34,2002
lva,309,2002
lbn,71,2002
lso,17,2002
lbr,14,2002
lby,41,2002
ltu,475,2002
lux,29,2002
mkd,177,2002
mdg,258,2002
mwi,29,2002
mys,535,2002
mli,707,2002
mlt,19,2002
mrt,28,2002
mus,41,2002
mex,3785,2002
mda,262,2002
mng,194,2002
mar,363,2002
moz,74,2002
mmr,1480,2002
nam,10,2002
npl,268,2002
nzl,138,2002
nic,257,2002
ner,76,2002
nga,656,2002
nor,238,2002
omn,33,2002
pak,1332,2002
pan,122,2002
png,41,2002
pry,190,2002
per,3223,2002
phl,1321,2002
pol,2634,2002
prt,1346,2002
pri,193,2002
qat,4,2002
rou,1371,2002
rus,21210,2002
rwa,288,2002
wsm,5,2002
sau,183,2002
sen,87,2002
scg,544,2002
sle,51,2002
sgp,273,2002
svk,372,2002
svn,182,2002
slb,7,2002
som,126,2002
zaf,641,2002
esp,3046,2002
lka,83,2002
sdn,245,2002
sur,9,2002
swz,6,2002
swe,427,2002
che,374,2002
syr,240,2002
tjk,332,2002
tza,425,2002
tha,856,2002
nld,803,2002
tgo,49,2002
tto,63,2002
tun,126,2002
tur,1915,2002
tkm,237,2002
uga,310,2002
ukr,6046,2002
are,46,2002
gbr,3675,2002
usa,8050,2002
ury,210,2002
uzb,832,2002
vut,4,2002
ven,1151,2002
vnm,3159,2002
yem,150,2002
zmb,194,2002
zwe,313,2002
