geo,breast_cancer_number_of_new_female_cases,time
afg,2021,2002
alb,843,2002
dza,2880,2002
ago,905,2002
arg,17020,2002
arm,1162,2002
aus,11180,2002
aut,4635,2002
aze,1295,2002
bhs,81,2002
bhr,91,2002
bgd,7735,2002
brb,109,2002
blr,2955,2002
bel,7429,2002
blz,21,2002
ben,591,2002
btn,170,2002
bol,765,2002
bih,1622,2002
bwa,170,2002
bra,37530,2002
brn,28,2002
bgr,2928,2002
bfa,1177,2002
bdi,413,2002
khm,1032,2002
cmr,1593,2002
can,19540,2002
cpv,47,2002
caf,230,2002
tcd,431,2002
chl,3668,2002
chn,126200,2002
col,5526,2002
com,45,2002
cod,1641,2002
cog,243,2002
cri,543,2002
civ,1437,2002
hrv,2311,2002
cub,2203,2002
cyp,349,2002
cze,5132,2002
dnk,3879,2002
dji,52,2002
dom,1335,2002
ecu,1221,2002
egy,6945,2002
slv,352,2002
gnq,28,2002
eri,250,2002
est,546,2002
eth,5142,2002
fji,104,2002
fin,3609,2002
fra,41960,2002
pyf,84,2002
gab,98,2002
gmb,34,2002
geo,1901,2002
deu,55690,2002
gha,2017,2002
grc,4543,2002
gum,35,2002
gtm,949,2002
gin,411,2002
gnb,125,2002
guy,96,2002
hti,136,2002
hnd,546,2002
hun,5411,2002
isl,162,2002
ind,82950,2002
idn,25210,2002
irn,4742,2002
irq,2497,2002
irl,1874,2002
isr,3382,2002
ita,36630,2002
jam,525,2002
jpn,32240,2002
jor,509,2002
kaz,3447,2002
ken,2422,2002
prk,2388,2002
kor,5511,2002
kwt,194,2002
kgz,522,2002
lao,217,2002
lva,938,2002
lbn,816,2002
lso,102,2002
lbr,166,2002
lby,463,2002
ltu,1106,2002
lux,282,2002
mkd,681,2002
mdg,1027,2002
mwi,391,2002
mys,2974,2002
mli,694,2002
mlt,231,2002
mrt,266,2002
mus,196,2002
mex,11060,2002
mda,1360,2002
mng,64,2002
mar,2848,2002
moz,236,2002
mmr,4117,2002
nam,147,2002
npl,1835,2002
nzl,2330,2002
nic,384,2002
ner,696,2002
nga,12250,2002
nor,2598,2002
omn,100,2002
pak,25720,2002
pan,379,2002
png,261,2002
pry,687,2002
per,3845,2002
phl,13050,2002
pol,14360,2002
prt,4309,2002
pri,1318,2002
qat,53,2002
rou,7273,2002
rus,43430,2002
rwa,276,2002
wsm,20,2002
sau,1563,2002
sen,562,2002
scg,4342,2002
sle,463,2002
sgp,1213,2002
svk,1880,2002
svn,966,2002
slb,39,2002
som,520,2002
zaf,6018,2002
esp,15860,2002
lka,2180,2002
sdn,2568,2002
sur,55,2002
swz,39,2002
swe,6583,2002
che,4954,2002
syr,2177,2002
tjk,304,2002
tza,2288,2002
tha,5282,2002
nld,10450,2002
tgo,447,2002
tto,351,2002
tun,851,2002
tur,6729,2002
tkm,349,2002
uga,1174,2002
ukr,15340,2002
are,179,2002
gbr,40930,2002
usa,210000,2002
ury,1931,2002
uzb,1755,2002
vut,16,2002
ven,3514,2002
vnm,5268,2002
yem,1795,2002
zmb,381,2002
zwe,662,2002
