geo,data_method_maternal_mortality,time
afg,8,2005
alb,8,2005
dza,8,2005
ago,8,2005
arg,2,2005
arm,8,2005
aus,1,2005
aut,1,2005
aze,8,2005
bhs,1,2005
bhr,2,2005
bgd,7,2005
brb,1,2005
blr,1,2005
bel,1,2005
blz,1,2005
ben,8,2005
btn,8,2005
bol,3,2005
bih,1,2005
bwa,8,2005
bra,4,2005
brn,8,2005
bgr,1,2005
bfa,3,2005
bdi,8,2005
khm,3,2005
cmr,3,2005
can,1,2005
cpv,8,2005
caf,8,2005
tcd,3,2005
chl,1,2005
chn,5,2005
col,8,2005
com,8,2005
cod,8,2005
cog,3,2005
cri,1,2005
civ,8,2005
hrv,1,2005
cub,1,2005
cyp,1,2005
cze,1,2005
dnk,1,2005
dji,8,2005
dom,3,2005
ecu,8,2005
egy,4,2005
slv,8,2005
gnq,8,2005
eri,8,2005
est,1,2005
eth,3,2005
fji,8,2005
fin,1,2005
fra,1,2005
gab,3,2005
gmb,8,2005
geo,8,2005
deu,1,2005
gha,8,2005
grc,2,2005
gtm,8,2005
gin,3,2005
gnb,8,2005
guy,8,2005
hti,3,2005
hnd,6,2005
hun,1,2005
isl,1,2005
ind,5,2005
idn,3,2005
irn,6,2005
irq,8,2005
irl,1,2005
isr,1,2005
ita,1,2005
jam,8,2005
jpn,1,2005
jor,4,2005
kaz,8,2005
ken,3,2005
prk,8,2005
kor,1,2005
kwt,1,2005
kgz,8,2005
lao,8,2005
lva,1,2005
lbn,8,2005
lso,3,2005
lbr,8,2005
lby,8,2005
ltu,1,2005
lux,1,2005
mkd,1,2005
mdg,3,2005
mwi,3,2005
mys,7,2005
mdv,8,2005
mli,3,2005
mlt,1,2005
mrt,3,2005
mus,1,2005
mex,1,2005
mda,1,2005
mng,1,2005
mar,3,2005
moz,3,2005
mmr,7,2005
nam,3,2005
npl,8,2005
nld,1,2005
nzl,1,2005
nic,6,2005
ner,8,2005
nga,8,2005
nor,1,2005
omn,8,2005
pak,8,2005
pan,8,2005
png,8,2005
pry,6,2005
per,3,2005
phl,8,2005
pol,2,2005
prt,2,2005
pri,1,2005
qat,2,2005
rou,1,2005
rus,1,2005
rwa,3,2005
sau,7,2005
sen,3,2005
scg,1,2005
sle,8,2005
sgp,1,2005
svk,1,2005
svn,1,2005
slb,8,2005
som,8,2005
zaf,6,2005
esp,1,2005
lka,7,2005
sdn,8,2005
sur,1,2005
swz,8,2005
swe,1,2005
che,1,2005
syr,8,2005
tjk,8,2005
tza,3,2005
tha,7,2005
tls,8,2005
tgo,3,2005
tto,1,2005
tun,8,2005
tur,4,2005
tkm,8,2005
uga,3,2005
ukr,1,2005
are,8,2005
gbr,1,2005
usa,1,2005
ury,1,2005
uzb,1,2005
ven,1,2005
vnm,8,2005
yem,8,2005
zmb,3,2005
zwe,8,2005
