geo,liver_cancer_number_of_male_deaths,time
afg,218,2002
alb,87,2002
dza,70,2002
ago,202,2002
arg,1044,2002
arm,77,2002
aus,477,2002
aut,453,2002
aze,103,2002
bhs,5,2002
bhr,10,2002
bgd,514,2002
brb,6,2002
blr,261,2002
bel,406,2002
blz,4,2002
ben,273,2002
btn,16,2002
bol,91,2002
bih,165,2002
bwa,16,2002
bra,3326,2002
brn,11,2002
bgr,473,2002
bfa,779,2002
bdi,307,2002
khm,450,2002
cmr,1869,2002
can,845,2002
cpv,15,2002
caf,323,2002
tcd,637,2002
chl,454,2002
chn,232800,2002
col,1091,2002
com,40,2002
cod,4299,2002
cog,172,2002
cri,103,2002
civ,727,2002
hrv,247,2002
cub,300,2002
cyp,18,2002
cze,575,2002
dnk,152,2002
dji,35,2002
dom,328,2002
ecu,422,2002
egy,1314,2002
slv,124,2002
gnq,41,2002
eri,224,2002
est,32,2002
eth,3580,2002
fji,16,2002
fin,175,2002
fra,5498,2002
pyf,26,2002
gab,60,2002
gmb,220,2002
geo,253,2002
deu,3474,2002
gha,960,2002
grc,1166,2002
gum,6,2002
gtm,146,2002
gin,920,2002
gnb,58,2002
guy,5,2002
hti,595,2002
hnd,80,2002
hun,550,2002
isl,8,2002
ind,8734,2002
idn,8632,2002
irn,302,2002
irq,54,2002
irl,84,2002
isr,101,2002
ita,6804,2002
jam,44,2002
jpn,25210,2002
jor,31,2002
kaz,777,2002
ken,813,2002
prk,3806,2002
kor,8498,2002
kwt,52,2002
kgz,106,2002
lao,320,2002
lva,68,2002
lbn,10,2002
lso,154,2002
lbr,101,2002
lby,89,2002
ltu,88,2002
lux,18,2002
mkd,93,2002
mdg,933,2002
mwi,180,2002
mys,839,2002
mli,973,2002
mlt,11,2002
mrt,126,2002
mus,21,2002
mex,2361,2002
mda,181,2002
mng,646,2002
mar,120,2002
moz,3759,2002
mmr,2213,2002
nam,15,2002
npl,185,2002
nzl,95,2002
nic,108,2002
ner,437,2002
nga,3536,2002
nor,70,2002
omn,52,2002
pak,2405,2002
pan,46,2002
png,275,2002
pry,70,2002
per,892,2002
phl,4225,2002
pol,1045,2002
prt,434,2002
pri,127,2002
qat,28,2002
rou,1373,2002
rus,4653,2002
rwa,825,2002
wsm,5,2002
sau,915,2002
sen,901,2002
scg,498,2002
sle,212,2002
sgp,406,2002
svk,211,2002
svn,93,2002
slb,24,2002
som,458,2002
zaf,786,2002
esp,2898,2002
lka,98,2002
sdn,622,2002
sur,2,2002
swz,57,2002
swe,348,2002
che,378,2002
syr,51,2002
tjk,73,2002
tza,888,2002
tha,9831,2002
nld,298,2002
tgo,210,2002
tto,11,2002
tun,99,2002
tur,672,2002
tkm,76,2002
uga,362,2002
ukr,1320,2002
are,77,2002
gbr,1369,2002
usa,8381,2002
ury,49,2002
uzb,325,2002
vut,14,2002
ven,396,2002
vnm,6515,2002
yem,367,2002
zmb,527,2002
zwe,774,2002
